RefID,Authors,Year,Title,Reference_Full,Measurement device(s),Notes on the inclusion of scales in the database,doi,crossref_title,crossref_authors,crossref_year,crossref_journal,crossref_volume,crossref_issue,crossref_page,crossref_publisher,crossref_type,best_title,best_authors,best_year,best_reference
41,Ambrazevicius,2005,The perception and transcription of the scale reconsidered: Several lithuanian cases,"Rytis Ambrazevicius. The perception and transcription of the scale reconsidered: Several lithuanian cases. The World of Music, 47(2):31-53, 2005","Computational; 10 cents accuracy reported; method for dealing with pitch drift; the overall method seems time-consuming and somewhat robust, if not necessarily as accurate as within 10 cents.",Inferred from recordings,,,,,,,,,,,The perception and transcription of the scale reconsidered: Several lithuanian cases,Ambrazevicius,2005,"Rytis Ambrazevicius. The perception and transcription of the scale reconsidered: Several lithuanian cases. The World of Music, 47(2):31-53, 2005"
42,Ambrazevicius,2006,Modelling of scales in traditional solo singing,"Rytis Ambrazevicius. Modelling of scales in traditional solo singing. Music. Sci., 10(1_suppl):65-87, 2006. doi: 10.1177/1029864906010001041","Computational; notes identified one at a time on a recording, measured, then grouped into a scale.",Inferred from recordings,10.1177/1029864906010001041,Modelling of scales in traditional solo singing,"Ambrazevičius, Rytis",2006,Musicae Scientiae,10,1_suppl,65-87,SAGE Publications,journal-article,Modelling of scales in traditional solo singing,"Ambrazevičius, Rytis",2006,"Ambrazevičius, Rytis (2006). Modelling of scales in traditional solo singing. Musicae Scientiae, 10(1_suppl):65-87."
43,Cooke,1971,Ludaya - a transverse flute from eastern uganda,"P. R. Cooke. Ludaya - a transverse flute from eastern uganda. Yearb. Int. Folk Music Council, 3:79-90, 1971. doi: 10.2307/767457",Stroboconn,,10.2307/767457,“Ludaya” – A Transverse Flute From Eastern Uganda,"Cooke, Peter R.",1971,Yearbook of the International Folk Music Council,3,,79-90,Cambridge University Press (CUP),journal-article,“Ludaya” – A Transverse Flute From Eastern Uganda,"Cooke, Peter R.",1971,"Cooke, Peter R. (1971). “Ludaya” – A Transverse Flute From Eastern Uganda. Yearbook of the International Folk Music Council, 3:79-90."
44,Garfias,1975,Preliminary thoughts on burmese modes,"Robert Garfias. Preliminary thoughts on burmese modes. Asian Music, 7(1):39-49, 1975",Not mentioned clearly,"The author states that, despite having 7 tones, musicians will often play in 'modes' in which only 5 notes are mainly played; but even then the 'secondary tones' are still played, 'giving them the character of passing tones, suspensions and appogiaturas.' Given this, I think it is most appropriate to include the original 7-note tuning system as scales, as well as the 5-note modes. Only 4 unique modes are identified, and all possible combinations of modes / tunings are considered.",10.2307/833926,Preliminary Thoughts on Burmese Modes,"Garfias, Robert",1975,Asian Music,7,1,39,JSTOR,journal-article,Preliminary Thoughts on Burmese Modes,"Garfias, Robert",1975,"Garfias, Robert (1975). Preliminary Thoughts on Burmese Modes. Asian Music, 7(1):39."
45,Jones,1966,A kwaiker indian xylophone,"A. M. Jones. A kwaiker indian xylophone. Ethnomusicology, 10(1):43-47, 1966",Stroboconn,"The instrument tuning is inferred from recordings of instrumental songs, rather than recordings of separate notes. The authors notes: In any one tune only certain notes will be used: so, in order to register as many of the xylophone notes as possible, we took samples from a wide selection of pieces.' Thus, in many cases, the 'scales' used are smaller than 7 notes, but there is no way of recovering this information.",10.2307/924184,A Kwaiker Indian Xylophone,"Jones, A. M.",1966,Ethnomusicology,10,1,43,University of Illinois Press,journal-article,A Kwaiker Indian Xylophone,"Jones, A. M.",1966,"Jones, A. M. (1966). A Kwaiker Indian Xylophone. Ethnomusicology, 10(1):43."
46,Jones,1960, Indonesia and africa: The xylophone as a culture-indicator,"A. M. Jones. Indonesia and africa: The xylophone as a culture-indicator. African Music : Journal of the International Library of African Music, 2(3):36-47, 1960. doi: https://doi.org/10.21504/amj.v2i3.608","Not clear since this is a secondary source; the author normally uses a stroboconn, but the cited papers likely use a monochord or tuning forks","These can be used as scales, but it must be recognized that these are not full instrument tunings. Rather, they are carefully selected portions that correspond to almost-equidistant scales. Any interpretation must therefore take this into account.",10.21504/amj.v2i3.608,Indonesia and Africa: the xylophone as a culture-indicator,"Jones, A.M.",1960,African Music: Journal of the African Music Society,2,3,36-47,Rhodes University,journal-article,Indonesia and Africa: the xylophone as a culture-indicator,"Jones, A.M.",1960,"Jones, A.M. (1960). Indonesia and Africa: the xylophone as a culture-indicator. African Music: Journal of the African Music Society, 2(3):36-47."
47,Kubik,1962,The endara xylophone of bukonjo,"G. Kubik. The endara xylophone of bukonjo. African Music : Journal of the International Library of African Music, 3(1):43-48, 1962. doi: https://doi.org/10.21504/ amj.v3i1.736",Tuning forks,,10.21504/amj.v3i1.736,The Endara xylophone of Bukonjo,"Kubik, Gerhard",1962,African Music: Journal of the African Music Society,3,1,43-48,Rhodes University,journal-article,The Endara xylophone of Bukonjo,"Kubik, Gerhard",1962,"Kubik, Gerhard (1962). The Endara xylophone of Bukonjo. African Music: Journal of the African Music Society, 3(1):43-48."
48,Kubik,1963,Discovery of a trough xylophone in northern mozambique,"G. Kubik. Discovery of a trough xylophone in northern mozambique. African Music : Journal of the International Library of African Music, 3(2):11-14, 1963. doi: https://doi.org/10.21504/amj.v3i2.826",Tuning forks,,10.21504/amj.v3i2.826,Discovery of a trough xylophone in northern Mozambique,"Kubik, Gerhard",1963,African Music: Journal of the African Music Society,3,2,11-14,Rhodes University,journal-article,Discovery of a trough xylophone in northern Mozambique,"Kubik, Gerhard",1963,"Kubik, Gerhard (1963). Discovery of a trough xylophone in northern Mozambique. African Music: Journal of the African Music Society, 3(2):11-14."
49,Kubik,1992,Embaire xylophone music of samusiri babalanda ,"Gerhard Kubik. Embaire xylophone music of samusiri babalanda (uganda 1968). The World of Music, 34(1): 57-84, 1992",Korg WT-12 Chromatic tuner; within 5 cents,,,,,,,,,,,,Embaire xylophone music of samusiri babalanda,Kubik,1992,"Gerhard Kubik. Embaire xylophone music of samusiri babalanda (uganda 1968). The World of Music, 34(1): 57-84, 1992"
50,Thrasher,1978,The transverse flute in traditional chinese music,"Alan Thrasher. The transverse flute in traditional chinese music. Asian Music, 10(1):92-114, 1978",Not mentioned,,10.2307/834126,The Transverse Flute in Traditional Chinese Music,"Thrasher, Alan",1978,Asian Music,10,1,92,JSTOR,journal-article,The Transverse Flute in Traditional Chinese Music,"Thrasher, Alan",1978,"Thrasher, Alan (1978). The Transverse Flute in Traditional Chinese Music. Asian Music, 10(1):92."
