directory,scl_file,notes,period,just,limit,description,tones,reference
xenharmonikon,xen07-chalmers-diaphonic-b.scl,19,1200.0,True,31,Wilson's Diaphonic Cycles B,33/32 33/31 11/10 33/29 33/28 11/9 33/26 33/25 11/8 44/31 22/15 44/29 11/7 44/27 22/13 44/25 11/6 44/23 2/1,"John H. Chalmers, Jr., Some additional nineteen-tone scales, Xenharmonikon 7 & 8 (1979)"
xenharmonikon,xen07-chalmers-diaphonic-c.scl,19,1200.0,True,31,Wilson's Diaphonic Cycles C,32/31 16/15 32/29 8/7 32/27 16/13 32/25 4/3 11/8 44/31 22/15 44/29 11/7 44/27 22/13 44/25 11/6 44/23 2/1,"John H. Chalmers, Jr., Some additional nineteen-tone scales, Xenharmonikon 7 & 8 (1979)"
xenharmonikon,xen07-chalmers-diaphonic-d.scl,19,1200.0,True,31,Wilson's Diaphonic Cycles D,33/32 33/31 11/10 33/29 33/28 11/9 33/26 33/25 11/8 33/23 3/2 48/31 8/5 48/29 12/7 16/9 24/13 48/25 2/1,"John H. Chalmers, Jr., Some additional nineteen-tone scales, Xenharmonikon 7 & 8 (1979)"
mailing-lists,over19.scl,19,1200.0,True,43,Dwarf scale for 43-limit patent val of 19edo,33/32 17/16 9/8 37/32 19/16 5/4 21/16 43/32 11/8 23/16 3/2 25/16 13/8 27/16 7/4 29/16 15/8 31/16 2/1,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_100224.html#100503
mailing-lists,bala_ribbon19.scl,19,1200.0,True,443,Parizekmic scale based on a double Bala sequence,203/192 13/12 9/8 443/384 39/32 5/4 125/96 4/3 45/32 277/192 3/2 203/128 13/8 5/3 83/48 117/64 15/8 125/64 2/1,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_95448.html#95701
mailing-lists,boop19.scl,19,1200.0,False,0,"19 note detempered sensi MOS boop (245/243) scale, rms tuning",54.196169 122.781755 176.977924 263.949327 318.145497 386.731082 440.927252 495.123421 582.094824 617.905176 704.876579 759.072748 813.268918 881.854503 936.050673 1023.022076 1077.218245 1145.803831 1200.000000,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_59269.html#59269
mailing-lists,circ19.scl,19,1200.0,False,0,19 note circulating temperament,65.625000 125.625000 185.625000 249.375000 316.875000 380.625000 440.625000 500.625000 566.250000 633.750000 695.625000 755.625000 815.625000 883.125000 950.625000 1010.625000 1070.625000 1132.500000 1200.000000,https://yahootuninggroupsultimatebackup.github.io/tuning-math/topicId_11142.html#11142
mailing-lists,diab19_612.scl,19,1200.0,False,0,diab19a in 612 et tuning,35.294118 119.607843 231.372549 266.666667 315.686275 350.980392 386.274510 498.039216 582.352941 617.647059 701.960784 813.725490 849.019608 884.313725 933.333333 968.627451 1080.392157 1164.705882 1200.000000,https://yahootuninggroupsultimatebackup.github.io/tuning-math/topicId_12387.html#12387
mailing-lists,diamond9keemic.scl,19,1200.0,False,0,"Keemic (875/864) tempering of 9-limit diamond, POTE tuning",176.72185 203.74653 235.78536 262.34137 321.40488 380.46839 439.53189 498.12673 583.74625 616.25375 701.87327 760.46811 819.53161 878.59512 937.65863 964.21464 996.25347 1023.27815 1200.00000,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_101385.html#101385
mailing-lists,didymus19sync.scl,19,1200.0,False,0,Didymus[19] hobbit (81/80) in synchronized tuning,41.37646 119.28478 192.28609 233.66254 311.57087 384.57217 462.48050 503.85696 545.23341 654.76659 696.14304 737.51950 815.42783 888.42913 966.33746 1007.71391 1080.71522 1158.62354 1200.00000,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_95362.html#95362
mailing-lists,dwarf19marv.scl,19,1200.0,False,0,Marvelous dwarf: 1/4 kleismic dwarf(<19 30 44|) = inverse wilson1,68.744546 115.587047 200.054240 268.798786 315.641287 384.385833 431.228334 499.972880 584.440073 631.282574 700.027120 768.771666 815.614167 884.358713 931.201214 1015.668407 1084.412953 1131.255454 1200.000000,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_59269.html#59269
mailing-lists,hi19_72.scl,19,1200.0,False,0,inverted smithgw_hahn19 in 72-et,50.000000 116.666667 183.333333 233.333333 316.666667 383.333333 433.333333 500.000000 583.333333 616.666667 700.000000 766.666667 816.666667 883.333333 933.333333 1000.000000 1083.333333 1116.666667 1200.000000,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_59279.html#59279
